DATUMVOLEB;OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
20121012;65;7;659;"Jana";"Nìmeèková";"Ing.";"";50;"místostarostka";"Libina";539961;166;166;"A";1833;6.17;6.17130159585213;0;0;0;0;0;0;0;"Koalice ""STAN"" a TOP 09"
20121012;65;8;759;"Jiøí";"Novák";"";"";57;"podnikatel";"Praha 5";500143;99;759;"A";238;.8;.80129284223284;0;0;0;0;0;0;0;"SUVERENITA - Blok Jany Bobošíkové"
20121012;65;9;47;"František";"Mencner";"";"";63;"sociální poradce";"Jeseník";536385;99;47;"A";5725;19.27;19.27479631001279;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20121012;68;1;659;"Tomáš";"Papuga";"MUDr.";"";45;"lékaø";"Bolatice";506214;721;721;"A";3466;11.28;11.28512356331195;0;0;0;0;0;0;0;"Koalice ""STAN"" a TOP 09"
20121012;68;2;1;"Josef";"Stiborskı";"";"";58;"poradce pro rehabilit. pomùcky";"Opava";505927;99;1;"A";4543;14.79;14.79178198157132;0;0;0;0;0;0;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
20121012;68;3;93;"Jindøich";"Skaøupa";"Ing.";"";57;"systémovı inenır";"Hradec nad Moravicí";507270;93;93;"A";1551;5.04;5.04997883632338;0;0;0;0;0;0;0;"Komunistická strana Èeskoslovenska"
20121012;68;4;53;"Václav";"Vlèek";"MUDr.";"";65;"lékaø";"Opava";505927;53;53;"A";6214;20.23;20.23247484778432;2;0;6901;37.76;37.76610299348765;0;0;"Obèanská demokratická strana"
20121012;68;5;47;"Miroslav";"Opálka";"RSDr.";"";60;"poslanec PS PÈR";"Opava";505927;47;47;"A";5592;18.2;18.20727379285644;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20121012;68;6;7;"Vladimír";"Plaèek";"MUDr. Mgr.";"";47;"øeditel USP Hrabynì";"Pustá Polom";509736;7;7;"A";9347;30.43;30.43336697815257;2;0;11372;62.23;62.23389700651234;1;0;"Èeská strana sociálnì demokratická"
20121012;71;1;53;"Dagmar";"Molendová";"MUDr.";"";55;"lékaø - onkolog";"Ostrava";4;53;53;"A";2786;10.57;10.57666755248471;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20121012;71;2;159;"Radoslav";"Štìdroò";"";"";57;"ekolog, geograf";"Ostrava";4;159;159;"A";424;1.6;1.60965794768611;0;0;0;0;0;0;0;"Strana práce"
20121012;71;3;755;"Leopold";"Sulovskı";"Ing.";"";58;"majitel obchodu HUDY sport";"Ostrava";4;99;755;"A";8364;31.75;31.75278083595915;2;0;9232;58.52;58.52297939778129;1;0;"Ostravak"
20121012;71;4;93;"Rùena";"Šarišská";"MUDr.";"";68;"praktickı lékaø";"Ostrava";4;93;93;"A";1800;6.83;6.83345355149766;0;0;0;0;0;0;0;"Komunistická strana Èeskoslovenska"
20121012;71;5;724;"Petr";"Lachnit";"Ing.";"CSc.";62;"øeditel obchodní firmy";"Ostrava";4;724;724;"A";691;2.62;2.62328689115827;0;0;0;0;0;0;0;"Strana Práv Obèanù ZEMANOVCI"
20121012;71;6;47;"Leo";"Luzar";"Ing.";"";47;"OSVÈ";"Ostrava";4;47;47;"A";3979;15.1;15.105728711894;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20121012;71;7;7;"Karel";"Sibinskı";"Mgr.";"";62;"starosta";"Ostrava";4;7;7;"A";8297;31.49;31.49842450932007;2;0;6543;41.47;41.4770206022187;0;0;"Èeská strana sociálnì demokratická"
